round_id,cook_id
1,200
1,191
1,199
2,195
2,200
2,199
3,200
3,193
3,192
4,194
4,199
4,198
5,199
5,200
5,195
6,189
6,198
6,200
7,196
7,199
7,195
8,195
8,200
8,199
9,200
9,193
9,199
10,192
10,196
10,200
11,197
11,191
11,199
12,192
12,198
12,200
13,199
13,187
13,193
14,197
14,199
14,196
15,198
15,196
15,200
16,200
16,191
16,197
17,198
17,200
17,196
18,199
18,191
18,200
19,194
19,184
19,197
20,198
20,200
20,199
21,199
21,198
21,200
22,196
22,198
22,194
23,193
23,194
23,200
24,198
24,197
24,199
25,179
25,198
25,200
26,198
26,197
26,200
27,191
27,200
27,187
28,198
28,200
28,192
29,198
29,200
29,192
30,193
30,197
30,199
31,195
31,197
31,200
32,200
32,196
32,199
33,199
33,200
33,197
34,192
34,193
34,199
35,199
35,192
35,200
36,194
36,200
36,191
37,192
37,198
37,200
38,179
38,199
38,200
39,200
39,198
39,197
40,200
40,193
40,198
41,199
41,197
41,200
42,198
42,193
42,199
43,200
43,198
43,190
44,196
44,199
44,200
45,200
45,199
45,193
46,200
46,198
46,195
47,192
47,195
47,200
48,200
48,196
48,199
49,200
49,196
49,198
50,186
50,198
50,194
51,197
51,193
51,198
52,195
52,193
52,200
53,200
53,198
53,191
54,200
54,192
54,197
55,198
55,199
55,194
56,195
56,200
56,196
57,200
57,198
57,197
58,196
58,199
58,197
59,198
59,199
59,200
60,192
60,199
60,196
61,193
61,194
61,199
62,194
62,198
62,193
63,190
63,198
63,200
64,200
64,198
64,194
65,199
65,194
65,200
66,199
66,198
66,200
67,199
67,197
67,194
68,193
68,197
68,200
69,193
69,200
69,199
70,200
70,198
70,197
71,199
71,194
71,193
72,196
72,199
72,198
73,199
73,197
73,193
74,200
74,182
74,199
75,199
75,191
75,197
76,195
76,200
76,196
77,197
77,198
77,193
78,198
78,200
78,194
79,199
79,200
79,197
80,193
80,200
80,199
81,197
81,178
81,199
82,194
82,200
82,199
83,195
83,199
83,200
84,198
84,197
84,199
85,196
85,199
85,198
86,198
86,200
86,199
87,195
87,183
87,200
88,194
88,196
88,198
89,198
89,196
89,199
90,194
90,200
90,188
91,199
91,200
91,197
92,200
92,199
92,197
93,192
93,198
93,200
94,197
94,199
94,198
95,198
95,200
95,199
96,198
96,197
96,199
97,200
97,199
97,192
98,196
98,191
98,199
99,196
99,199
99,198
100,200
100,198
100,197
101,197
101,195
101,189
102,199
102,198
102,200
103,200
103,199
103,198
104,200
104,199
104,197
105,195
105,199
105,197
106,195
106,198
106,200
107,198
107,200
107,199
108,191
108,194
108,199
109,194
109,199
109,197
110,194
110,200
110,177
111,199
111,195
111,200
112,200
112,199
112,194
113,197
113,195
113,200
114,192
114,200
114,197
115,198
115,195
115,188
116,199
116,200
116,197
117,200
117,199
117,197
118,194
118,198
118,200
119,197
119,200
119,194
120,197
120,198
120,200
121,198
121,200
121,182
122,198
122,191
122,196
123,198
123,200
123,196
124,193
124,197
124,199
125,197
125,200
125,198
126,199
126,200
126,197
127,200
127,199
127,193
128,198
128,199
128,184
129,194
129,199
129,198
130,198
130,199
130,197
131,200
131,194
131,197
132,200
132,199
132,198
133,197
133,195
133,189
134,197
134,189
134,199
135,197
135,200
135,198
136,189
136,200
136,199
137,196
137,197
137,199
138,198
138,196
138,199
139,200
139,199
139,197
140,195
140,200
140,198
