round_round_id,cook_cook_id,recipe_recipe_id
1,2,3
1,51,5
1,28,13
1,21,9
1,15,75
1,25,1
1,3,45
1,14,11
1,20,117
1,56,25
2,29,48
2,11,8
2,17,10
2,66,14
2,22,141
2,4,12
2,6,104
2,1,27
2,8,34
2,3,19
3,3,46
3,22,2
3,40,21
3,18,18
3,34,23
3,9,4
3,2,30
3,18,87
3,10,31
3,1,16
4,34,7
4,21,41
4,16,26
4,25,1
4,3,55
4,11,28
4,14,22
4,131,100
4,18,17
4,56,25
5,2,3
5,13,81
5,51,5
5,4,12
5,6,104
5,8,34
5,40,38
5,14,51
5,24,144
5,17,15
6,21,9
6,29,48
6,17,10
6,18,18
6,16,6
6,34,23
6,3,45
6,2,30
6,1,16
6,18,61
7,3,46
7,34,7
7,16,26
7,11,8
7,27,49
7,25,1
7,11,28
7,9,4
7,3,19
7,20,117
8,2,3
8,21,41
8,13,81
8,66,14
8,22,141
8,4,12
8,1,27
8,8,34
8,14,11
8,18,87
9,22,2
9,21,9
9,83,82
9,3,55
9,34,23
9,14,51
9,10,31
9,18,17
9,1,16
9,18,61
10,3,46
10,34,7
10,29,48
10,11,8
10,17,10
10,15,75
10,25,1
10,75,37
10,3,19
10,17,15
11,21,41
11,28,13
11,4,12
11,14,22
11,8,34
11,3,45
11,9,4
11,24,144
11,14,11
11,131,100
12,40,21
12,21,9
12,66,14
12,11,28
12,6,104
12,40,38
12,14,51
12,2,30
12,20,117
12,18,17
13,2,3
13,3,46
13,51,5
13,29,48
13,11,8
13,15,75
13,18,18
13,18,87
13,1,16
13,56,25
14,16,26
14,28,13
14,17,10
14,25,1
14,3,55
14,14,22
14,8,34
14,3,19
14,14,11
14,10,31
15,34,7
15,13,81
15,22,2
15,66,14
15,4,12
15,11,28
15,40,38
15,24,144
15,18,17
15,18,61
16,2,3
16,29,48
16,83,82
16,11,8
16,18,18
16,75,37
16,1,27
16,14,51
16,2,30
16,56,25
17,21,41
17,40,21
17,21,9
17,17,10
17,27,49
17,22,141
17,14,22
17,34,23
17,3,45
17,18,87
18,3,46
18,16,26
18,28,13
18,22,2
18,4,12
18,11,28
18,8,34
18,24,144
18,3,19
18,18,17
19,51,5
19,11,8
19,25,1
19,66,14
19,18,18
19,3,55
19,75,37
19,1,27
19,2,30
19,56,25
20,2,3
20,34,7
20,17,10
20,27,49
20,15,75
20,14,22
20,34,23
20,3,45
20,14,11
20,131,100
21,3,46
21,22,2
21,40,21
21,83,82
21,16,6
21,11,28
21,3,19
21,10,31
21,18,17
21,1,16
22,13,81
22,11,8
22,25,1
22,3,55
22,1,27
22,8,34
22,14,51
22,24,144
22,2,30
22,56,25
23,34,7
23,21,9
23,29,48
23,18,18
23,6,104
23,10,128
23,40,38
23,3,45
23,9,4
23,17,15
24,2,3
24,3,46
24,16,26
24,22,2
24,15,75
24,66,14
24,14,22
24,3,19
24,18,17
24,1,16
25,83,82
25,17,10
25,25,1
25,3,55
25,16,6
25,1,27
25,8,34
25,34,23
25,2,30
25,56,25
26,51,5
26,21,9
26,29,48
26,11,8
26,27,49
26,14,51
26,9,4
26,18,87
26,10,31
26,18,61
27,2,3
27,21,41
27,13,81
27,40,21
27,15,75
27,11,28
27,75,37
27,14,22
27,40,38
27,131,100
28,3,46
28,34,7
28,22,2
28,25,1
28,18,18
28,3,55
28,8,34
28,3,45
28,3,19
28,14,11
29,28,13
29,21,9
29,11,8
29,66,14
29,6,104
29,1,27
29,9,4
29,20,117
29,18,17
29,18,61
30,2,3
30,21,41
30,16,26
30,29,48
30,83,82
30,17,10
30,11,28
30,40,38
30,14,51
30,1,16
31,3,46
31,34,7
31,15,75
31,18,18
31,14,22
31,8,34
31,2,30
31,17,15
31,131,100
31,10,31
32,13,81
32,51,5
32,40,21
32,21,9
32,11,8
32,3,55
32,1,27
32,10,128
32,18,87
32,18,61
33,2,3
33,16,26
33,28,13
33,66,14
33,22,141
33,16,6
33,11,28
33,34,23
33,14,11
33,56,25
34,3,46
34,29,48
34,83,82
34,6,104
34,8,34
34,9,4
34,2,30
34,3,19
34,10,31
34,1,16
35,34,7
35,51,5
35,40,21
35,25,1
35,18,18
35,1,27
35,3,45
35,17,15
35,20,117
35,18,17
36,13,81
36,28,13
36,22,2
36,21,9
36,15,75
36,66,14
36,16,6
36,11,28
36,14,11
36,56,25
37,2,3
37,3,46
37,16,26
37,83,82
37,11,8
37,3,55
37,14,22
37,8,34
37,18,87
37,10,31
38,34,7
38,21,41
38,40,21
38,17,10
38,22,141
38,6,104
38,1,27
38,24,144
38,2,30
38,3,19
39,28,13
39,15,75
39,4,12
39,11,28
39,40,38
39,14,51
39,9,4
39,17,15
39,131,100
39,1,16
40,3,46
40,29,48
40,11,8
40,27,49
40,25,1
40,3,55
40,16,6
40,8,34
40,3,45
40,14,11
41,2,3
41,40,21
41,17,10
41,66,14
41,18,18
41,14,22
41,10,128
41,2,30
41,3,19
41,10,31
42,34,7
42,13,81
42,16,26
42,4,12
42,40,38
42,14,51
42,9,4
42,18,87
42,131,100
42,18,17
43,3,46
43,21,41
43,51,5
43,28,13
43,22,2
43,11,28
43,6,104
43,34,23
43,3,45
43,1,16
44,2,3
44,29,48
44,25,1
44,18,18
44,3,55
44,1,27
44,8,34
44,3,19
44,10,31
44,18,61
45,21,9
45,11,8
45,27,49
45,15,75
45,14,22
45,9,4
45,2,30
45,17,15
45,18,17
45,56,25
46,3,46
46,34,7
46,22,2
46,40,21
46,83,82
46,4,12
46,11,28
46,3,45
46,14,51
46,14,11
47,2,3
47,16,26
47,51,5
47,66,14
47,18,18
47,6,104
47,8,34
47,24,144
47,3,19
47,10,31
48,28,13
48,21,9
48,17,10
48,27,49
48,1,27
48,9,4
48,18,87
48,20,117
48,18,17
48,56,25
49,34,7
49,40,21
49,29,48
49,11,8
49,3,55
49,14,22
49,14,51
49,2,30
49,14,11
49,1,16
50,2,3
50,15,75
50,66,14
50,18,18
50,8,34
50,3,45
50,17,15
50,131,100
50,10,31
50,18,61
51,3,46
51,28,13
51,17,10
51,22,141
51,11,28
51,75,37
51,34,23
51,24,144
51,3,19
51,18,17
52,34,7
52,21,41
52,51,5
52,21,9
52,83,82
52,4,12
52,6,104
52,1,27
52,2,30
52,1,16
53,2,3
53,16,26
53,40,21
53,29,48
53,66,14
53,18,18
53,14,22
53,3,45
53,9,4
53,10,31
54,22,2
54,27,49
54,15,75
54,11,28
54,75,37
54,8,34
54,24,144
54,3,19
54,18,17
54,56,25
55,34,7
55,21,41
55,11,8
55,17,10
55,40,38
55,14,51
55,14,11
55,20,117
55,1,16
55,18,61
56,3,46
56,16,26
56,28,13
56,21,9
56,29,48
56,66,14
56,34,23
56,3,45
56,9,4
56,18,87
57,13,81
57,51,5
57,22,2
57,15,75
57,4,12
57,11,28
57,17,15
57,10,31
57,18,17
57,56,25
58,2,3
58,22,141
58,18,18
58,3,55
58,1,27
58,14,22
58,14,51
58,14,11
58,20,117
58,1,16
59,34,7
59,28,13
59,40,21
59,11,8
59,25,1
59,8,34
59,34,23
59,40,38
59,3,45
59,2,30
60,3,46
60,21,41
60,16,26
60,51,5
60,22,2
60,66,14
60,4,12
60,75,37
60,24,144
60,18,17
61,2,3
61,83,82
61,15,75
61,18,18
61,1,27
61,14,22
61,3,19
61,14,11
61,1,16
61,56,25
62,34,7
62,13,81
62,40,21
62,22,141
62,16,6
62,11,28
62,34,23
62,40,38
62,3,45
62,14,51
63,51,5
63,28,13
63,29,48
