1,Fruits,Naturally sweet and juicy foods that grow on ,Vegan,https://picsum.photos/200/200
2,Vegetables,"Edible plants that include leaves, stems, roo",Vegan,https://picsum.photos/200/200
3,Dairy products,"Products made from milk, such as cheese, yogu",Non-vegan,https://picsum.photos/200/200
4,Grains,"Edible seeds of grasses, including wheat, ric",Vegan,https://picsum.photos/200/200
5,Meat,"Animal flesh used as food, typically from mam",Non-vegan,https://dummyimage.com/200x200
6,Poultry,"Domesticated birds raised for meat, including",Non-vegan,https://dummyimage.com/200x200
7,Seafood,"Edible aquatic animals and plants, including ",Non-vegan,https://dummyimage.com/200x200
8,Nuts and seeds,"Edible kernels found within hard shells, such",Vegan,https://picsum.photos/200/200
9,Legumes,Plants in the pea family that produce pods co,Vegan,https://picsum.photos/200/200
10,Herbs and spices,"Plants used to add flavor to food, often in d",Vegan,https://placekitten.com/200/200
11,Eggs,"Reproductive bodies laid by female birds, typ",Non-vegan,https://placekitten.com/200/200
12,Oils and fats,Liquids or semisolids derived from plants or ,Non-vegan,https://picsum.photos/200/200
13,Breads and cereals,"Staple foods made from grains, typically bake",Vegan,https://picsum.photos/200/200
14,Beverages,"Drinks consumed for hydration, refreshment, o",Vegan,https://picsum.photos/200/200
15,Snacks,"Small portions of food eaten between meals, o",Varies,https://placekitten.com/200/200
16,Condiments,"Sauces, spices, or other flavorful substances",Vegan,https://placekitten.com/200/200
17,Desserts,"Sweet treats served after a meal, such as cak",Varies,https://placekitten.com/200/200
18,Soups and broths,Liquid dishes made by boiling ingredients lik,Varies,https://dummyimage.com/200x200
19,Pasta and noodles,"Starchy foods made from wheat flour, water, a",Vegan,https://dummyimage.com/200x200
20,Fermented foods,"Foods altered by microbial action, such as yo",Varies,https://picsum.photos/200/200
21,Frozen foods,"Prepared meals, fruits, vegetables, or other ",Varies,https://dummyimage.com/200x200
22,Canned foods,"Foods preserved and stored in metal cans, jar",Varies,https://picsum.photos/200/200
23,Baked goods,"Foods made by baking, including bread, cakes,",Varies,https://picsum.photos/200/200
24,Breakfast foods,"Foods commonly eaten in the morning, such as ",Varies,https://dummyimage.com/200x200
25,Salads,Mixed dishes made with a combination of veget,Varies,https://placekitten.com/200/200
26,Sauces,Liquid or semi-solid condiments used to add f,Varies,https://picsum.photos/200/200
27,Sweets,"Confections or sugary treats, including candi",Varies,https://picsum.photos/200/200
28,Pickled foods,Foods preserved by anaerobic fermentation in ,Varies,https://dummyimage.com/200x200
29,Deli meats,Cooked or cured meats sliced and sold at a de,Non-vegan,https://placekitten.com/200/200
30,Ethnic foods,Traditional foods and dishes associated with ,Varies,https://picsum.photos/200/200