ingredient_id,ingredient_name,ingredient_grams_of_fat,ingredient_grams_of_protein,ingredient_grams_of_carbs,ingredient_calories_per_gram,ingredient_img
1,Chicken,9,10,20,6,https://dummyimage.com/990x70
2,wall,15,10,17,3,https://dummyimage.com/770x915
3,boy,18,8,19,9,https://placekitten.com/747/1008
4,serious,14,9,7,9,https://picsum.photos/927/589
5,federal,17,7,17,3,https://picsum.photos/887/720
6,relationship,12,3,10,8,https://dummyimage.com/85x129
7,case,10,2,11,5,https://dummyimage.com/973x224
8,save,17,10,5,7,https://placekitten.com/628/786
9,address,14,13,16,10,https://placekitten.com/406/424
10,toward,13,5,17,3,https://dummyimage.com/423x935
11,practice,3,1,11,2,https://dummyimage.com/275x203
12,same,3,4,13,4,https://placekitten.com/374/233
13,institution,19,17,5,9,https://picsum.photos/502/939
14,least,16,17,9,10,https://dummyimage.com/948x202
15,in,19,8,2,2,https://placekitten.com/550/255
16,involve,11,11,12,8,https://placekitten.com/926/530
17,new,7,15,18,10,https://picsum.photos/380/136
18,exactly,12,10,8,2,https://placekitten.com/458/70
19,agree,13,6,10,5,https://placekitten.com/482/388
20,Kielbasa,4,3,11,7,https://picsum.photos/58/385
21,Noodles,2,2,10,3,https://picsum.photos/510/767
22,Sausage,12,16,20,6,https://placekitten.com/270/135
23,Milk,16,10,4,10,https://picsum.photos/828/801
24,Eggs,17,3,6,8,https://dummyimage.com/774x1001
25,Corn Meal,10,17,14,5,https://placekitten.com/936/188
26,Vegetarian,2,3,8,7,https://placekitten.com/461/57
27,Potatoes,13,2,1,10,https://dummyimage.com/670x901
28,Rice,16,14,16,8,https://placekitten.com/883/554
29,Beans,3,10,8,4,https://picsum.photos/593/139
30,Marinara Sauce,10,13,7,10,https://picsum.photos/114/300
31,Cheese,9,6,4,4,https://dummyimage.com/238x186
32,Beef,14,11,16,10,https://picsum.photos/65/596
33,Pork,12,4,7,3,https://picsum.photos/266/309
34,Ham,20,12,7,5,https://dummyimage.com/82x648
35,Bacon,2,4,18,1,https://placekitten.com/878/197
36,Turkey,5,3,17,7,https://picsum.photos/906/5
37,Beets,4,13,11,3,https://placekitten.com/571/348
38,Breadcrumbs,19,6,15,7,https://dummyimage.com/369x872
39,Lentils,5,4,16,1,https://picsum.photos/368/838
40,Carrots,2,16,19,7,https://placekitten.com/536/281
41,Onion,17,8,4,10,https://placekitten.com/223/23
42,Buckwheat,12,8,1,4,https://picsum.photos/856/726
43,Flour,16,7,16,4,https://placekitten.com/232/706
44,Yeast,3,19,5,9,https://picsum.photos/920/41
45,Peas,10,15,6,2,https://dummyimage.com/957x1007
46,Apple,16,5,18,10,https://placekitten.com/539/495
47,Tomatoes,9,11,20,9,https://dummyimage.com/995x938
48,Fish,1,7,2,9,https://picsum.photos/524/172
49,Yogurt,7,7,14,5,https://picsum.photos/572/479
50,Butter,2,1,15,6,https://dummyimage.com/870x466
51,Sour Cream,5,4,12,5,https://placekitten.com/873/937
52,Parsnips,8,2,20,2,https://dummyimage.com/448x94
53,Chocolate Chips,14,12,18,6,https://dummyimage.com/1005x115
54,Chickpeas,17,18,2,4,https://dummyimage.com/467x7
55,Coconut milk,4,14,17,9,https://dummyimage.com/698x380
56,Broccoli,2,10,15,9,https://picsum.photos/532/186
57,Asparagus,15,10,14,5,https://dummyimage.com/681x390
58,Quinoa,15,5,14,10,https://picsum.photos/115/953
59,Brussels Sprouts,18,19,16,5,https://picsum.photos/393/847
60,Sweet potato,8,7,2,7,https://placekitten.com/890/99
61,Cabbage,8,13,13,8,https://dummyimage.com/795x546
62,Peanut,2,12,2,9,https://placekitten.com/895/519
63,Orzo,5,2,10,8,https://placekitten.com/977/46
64,Spinach,15,13,20,7,https://placekitten.com/279/1004
65,Salmon,9,1,5,8,https://picsum.photos/305/970
66,Chia,3,2,15,4,https://placekitten.com/467/708
67,Tomatillo,15,7,14,5,https://picsum.photos/1000/122
68,Lime,5,14,9,2,https://picsum.photos/723/71
69,Garlic,7,6,12,10,https://placekitten.com/1003/6
70,Squash,14,6,15,2,https://dummyimage.com/815x251
71,Cilantro,10,6,18,3,https://placekitten.com/769/700
72,Wine,12,2,6,6,https://dummyimage.com/87x199
73,Soy Sauce,16,13,19,2,https://picsum.photos/1009/23
74,Dijon Mustard,5,19,16,9,https://dummyimage.com/872x225
75,Ginger,14,15,11,10,https://dummyimage.com/977x680
76,Mango,6,4,7,3,https://placekitten.com/612/650
77,Raisins,15,19,4,10,https://picsum.photos/683/809
78,Bell Pepper,19,5,18,5,https://dummyimage.com/625x39
79,Jalopeno Pepper,3,6,1,8,https://picsum.photos/414/4
80,celery,9,14,3,1,https://picsum.photos/791/780
81,Baking Powder,19,14,4,10,https://dummyimage.com/727x375
82,gnocchi,14,15,11,2,https://picsum.photos/953/982
83,Water chestnuts,17,12,16,3,https://picsum.photos/933/731
84,Tuna,2,1,19,6,https://dummyimage.com/887x96
85,Capers,9,19,6,1,https://placekitten.com/504/498
86,Adobo Chile,8,15,3,10,https://dummyimage.com/676x206
87,Basil,20,6,19,10,https://placekitten.com/599/901
88,Kale,15,11,17,1,https://dummyimage.com/967x151
89,Red onion,20,19,15,2,https://dummyimage.com/174x687
90,Sardine,16,11,9,9,https://picsum.photos/859/106
91,Shallots,2,20,20,8,https://picsum.photos/205/56
92,Lemon,16,13,16,6,https://picsum.photos/423/513
93,Parsley,2,7,14,3,https://dummyimage.com/999x168
94,Prosciutto,6,12,4,7,https://picsum.photos/385/1011
95,Cucumber,8,14,12,9,https://placekitten.com/748/985
96,Dill,10,10,1,7,https://dummyimage.com/848x99
97,Couscous,1,2,1,2,https://placekitten.com/127/920
98,Green Onion,16,1,14,8,https://placekitten.com/459/133
99,Tilapia,4,16,2,6,https://placekitten.com/909/334
100,Pesto,2,14,1,10,https://dummyimage.com/385x468
