recipe_recipe_id,equipment_equipment_id
1,30
1,20
1,49
2,33
3,34
3,36
3,49
4,27
4,12
4,40
5,32
5,30
5,18
6,34
6,5
6,18
7,27
7,24
7,12
8,30
9,40
9,7
10,7
11,39
12,26
13,44
13,12
13,2
14,3
15,5
15,41
16,14
16,16
16,17
17,49
18,5
19,20
20,14
20,10
21,24
21,48
22,21
22,39
22,31
23,24
23,49
23,38
24,5
24,11
24,33
25,27
26,49
26,17
26,42
27,20
27,34
27,15
28,18
29,26
29,20
29,16
30,49
30,45
31,40
31,9
32,42
32,8
32,18
33,17
34,16
34,32
34,34
35,46
36,32
36,49
37,21
38,18
38,35
38,42
39,28
39,41
39,17
40,23
40,27
40,45
41,13
41,30
41,47
42,17
42,45
43,36
43,41
43,13
44,37
44,39
45,46
45,31
45,43
46,28
46,36
47,19
47,6
47,46
48,15
49,4
50,30
50,28
50,39
51,40
51,14
51,22
52,43
52,26
53,44
54,31
55,48
55,37
55,30
56,20
56,40
56,7
57,31
57,10
57,34
58,41
58,2
59,43
59,22
60,22
60,21
61,46
61,21
62,3
62,16
62,37
63,38
63,40
64,20
64,5
65,4
66,19
66,43
66,26
67,14
68,24
68,31
68,47
69,3
69,7
70,15
70,3
70,43
71,46
72,39
72,41
72,13
73,48
73,38
74,15
74,26
75,14
75,6
76,32
76,22
76,44
77,28
78,2
79,43
79,44
80,43
81,36
81,2
82,13
83,11
84,33
84,42
84,12
85,33
86,7
86,19
86,37
87,46
88,6
89,1
89,27
89,28
90,44
90,29
90,48
91,21
92,11
92,17
93,11
93,12
94,39
95,7
95,41
96,22
96,20
97,32
97,48
97,9
98,3
98,28
99,18
99,42
99,24
100,9
100,36
100,38
101,10
101,35
101,11
102,10
102,41
103,48
103,36
104,38
105,36
105,2
106,12
106,14
106,33
107,7
107,14
107,43
108,1
108,4
108,34
109,48
110,2
110,28
110,46
111,5
112,7
112,34
112,5
113,5
114,32
114,4
114,7
115,25
115,26
115,42
116,4
116,22
116,2
117,26
117,24
117,47
118,43
118,10
118,31
119,44
119,3
119,11
120,32
120,24
120,45
121,11
122,17
122,12
123,25
124,15
124,14
125,11
126,45
126,6
126,39
127,10
128,40
128,37
129,35
130,28
130,45
130,1
131,11
132,11
132,45
132,42
133,11
133,48
133,13
134,27
134,9
134,46
135,36
135,44
135,35
136,48
136,1
137,23
138,3
138,18
139,29
139,40
139,31
140,14
140,20
140,32
141,22
142,9
143,49
144,20
